pick_id,EV
Atlanta_Hawks_2026_2,0.0425
Atlanta_Hawks_2027_1,0.19859265
Atlanta_Hawks_2027_2,0.027263830000000003
Atlanta_Hawks_2028_1,0.22603890000000001
Atlanta_Hawks_2028_2,0.03227976
Atlanta_Hawks_2029_1,0.27330646000000003
Atlanta_Hawks_2029_2,0.03748265
Atlanta_Hawks_2030_1,0.28722598
Atlanta_Hawks_2030_2,0.03864825
Atlanta_Hawks_2031_1,0.31755634
Atlanta_Hawks_2031_2,0.042319867474008906
Atlanta_Hawks_2032_1,0.32305418
Atlanta_Hawks_2032_2,0.04267324
Boston_Celtics_2026_1,0.23
Boston_Celtics_2027_1,0.18584694
Boston_Celtics_2027_2,0.025153210000000002
Boston_Celtics_2028_1,0.1891797
Boston_Celtics_2029_1,0.25853382999999996
Boston_Celtics_2029_2,0.03560511
Boston_Celtics_2030_1,0.38926876
Boston_Celtics_2030_2,0.05095614
Boston_Celtics_2031_1,0.33291861
Boston_Celtics_2031_2,0.04404062
Boston_Celtics_2032_1,0.15
Boston_Celtics_2032_2,0.042555079999999995
Brooklyn_Nets_2026_1,0.66391575
Brooklyn_Nets_2026_2,0.07988875
Brooklyn_Nets_2027_1,0.6485174199999999
Brooklyn_Nets_2027_2,0.07821296
Brooklyn_Nets_2028_1,0.58595123
Brooklyn_Nets_2028_2,0.0725376
Brooklyn_Nets_2029_1,0.49100347
Brooklyn_Nets_2029_2,0.06319646
Brooklyn_Nets_2030_1,0.39711347999999996
Brooklyn_Nets_2030_2,0.05198341
Brooklyn_Nets_2031_1,0.34533394
Brooklyn_Nets_2031_2,0.0455693
Brooklyn_Nets_2032_1,0.32220718000000004
Brooklyn_Nets_2032_2,0.04264876
Charlotte_Hornets_2026_1,0.5654265
Charlotte_Hornets_2026_2,0.0726615
Charlotte_Hornets_2027_1,0.5217775499999999
Charlotte_Hornets_2027_2,0.06770367
Charlotte_Hornets_2028_1,0.44459791000000004
Charlotte_Hornets_2028_2,0.05957112
Charlotte_Hornets_2029_1,0.39762524000000005
Charlotte_Hornets_2029_2,0.05273461
Charlotte_Hornets_2030_1,0.32959594999999997
Charlotte_Hornets_2030_2,0.04399638
Charlotte_Hornets_2031_1,0.3135649
Charlotte_Hornets_2031_2,0.04175189
Charlotte_Hornets_2032_1,0.31745758999999996
Charlotte_Hornets_2032_2,0.04213809
Chicago_Bulls_2026_1,0.5383425000000001
Chicago_Bulls_2026_2,0.06983450000000001
Chicago_Bulls_2027_1,0.57718999
Chicago_Bulls_2027_2,0.07276358000000001
Chicago_Bulls_2028_1,0.5553559
Chicago_Bulls_2028_2,0.06992208
Chicago_Bulls_2029_1,0.45578777
Chicago_Bulls_2029_2,0.05925633
Chicago_Bulls_2030_1,0.36677231
Chicago_Bulls_2030_2,0.04834091
Chicago_Bulls_2031_1,0.32984007000000004
Chicago_Bulls_2031_2,0.04368022
Chicago_Bulls_2032_1,0.31683861
Chicago_Bulls_2032_2,0.04204902
Cleveland_Cavaliers_2026_2,0.0275
Cleveland_Cavaliers_2027_1,0.17257297000000002
Cleveland_Cavaliers_2027_2,0.02293815
Cleveland_Cavaliers_2028_1,0.23758748000000002
Cleveland_Cavaliers_2028_2,0.03410112
Cleveland_Cavaliers_2029_1,0.2969388
Cleveland_Cavaliers_2029_2,0.04054754
Cleveland_Cavaliers_2030_1,0.29759595
Cleveland_Cavaliers_2030_2,0.040019189999999996
Cleveland_Cavaliers_2031_1,0.31551986000000004
Cleveland_Cavaliers_2031_2,0.04190136
Cleveland_Cavaliers_2032_1,0.31856898
Cleveland_Cavaliers_2032_2,0.04227478
Dallas_Mavericks_2026_1,0.4287190000000001
Dallas_Mavericks_2026_2,0.059664999999999996
Dallas_Mavericks_2027_1,0.45740190000000003
Dallas_Mavericks_2027_2,0.06166273
Dallas_Mavericks_2028_1,0.31031502
Dallas_Mavericks_2028_2,0.04435728
Dallas_Mavericks_2029_1,0.32906002
Dallas_Mavericks_2029_2,0.044439780000000005
Dallas_Mavericks_2030_1,0.28005994
Dallas_Mavericks_2030_2,0.037758
Dallas_Mavericks_2031_1,0.29758633
Dallas_Mavericks_2031_2,0.03971685
Dallas_Mavericks_2032_1,0.31840845
Dallas_Mavericks_2032_2,0.042179219999999996
Denver_Nuggets_2026_1,0.1425
Denver_Nuggets_2026_2,0.0175
Denver_Nuggets_2027_2,0.02113761
Denver_Nuggets_2028_2,0.02805576
Denver_Nuggets_2030_2,0.041930220000000004
Denver_Nuggets_2031_1,0.33995885
Denver_Nuggets_2031_2,0.044974520000000004
Denver_Nuggets_2032_1,0.31946645
Denver_Nuggets_2032_2,0.042396710000000004
Detroit_Pistons_2026_1,0.165
Detroit_Pistons_2026_2,0.0225
Detroit_Pistons_2027_1,0.14121845
Detroit_Pistons_2027_2,0.01745096
Detroit_Pistons_2028_1,0.14730494
Detroit_Pistons_2028_2,0.0184572
Detroit_Pistons_2029_1,0.20418388
Detroit_Pistons_2029_2,0.02805646
Detroit_Pistons_2030_1,0.23942831
Detroit_Pistons_2030_2,0.03243734
Detroit_Pistons_2031_1,0.30363896
Detroit_Pistons_2031_2,0.040445760000000004
Detroit_Pistons_2032_1,0.32150965000000004
Detroit_Pistons_2032_2,0.04251914
Golden_State_Warriors_2026_1,0.245
Golden_State_Warriors_2026_2,0.035
Golden_State_Warriors_2027_1,0.33845035
Golden_State_Warriors_2027_2,0.04997888
